judge,artist,album,vote
E1,佛跳墙,BJ肆,4
E1,Robynn & Kendy,Curations,0
E1,吉克隽逸,Global Citizen世界公民Ⅲ,0
E1,陈珊妮,Juvenile A,0
E1,缺省,Life In A Vacuum,0
E1,小尘埃,Little By Little,0
E1,邓小巧,No Coincidence,0
E1,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E1,威神V WayV,Take Off (The 1st Mini Album),0
E1,谢安琪/麦浚龙,The Album And The Rest Of It,0
E1,粉红A,为艺术牺牲,0
E1,丢莱卡,健忘的平原,0
E1,全家福合唱团,全家福II,0
E1,养鸡,养鸡的梦境,0
E1,小老虎,北京吗,0
E1,张雄关,危险地带,0
E1,宫阁,即将上映,0
E1,傻子与白痴,夜长梦少,0
E1,Howie Lee,天地不仁,0
E1,吴青峰,太空人,2
E1,许哲佩,失物之城,0
E1,丁世光,实况电影,0
E1,周华健,少年,0
E1,莫宰羊,幻想曲,0
E1,倒车入库,庸人自扰,0
E1,Ice Paper,成语接龙,0
E1,梁静茹,我好吗? - 太阳如常升起,0
E1,家家,我想要的,1
E1,短裤里的诗歌,我还喜欢你,0
E1,许廷铿,拾,0
E1,鬼卞,无间,0
E1,刘柏辛,无限意识Meta Ego,3
E1,鲁向卉,时间/木马,0
E1,AR刘夫阳,校园寓言故事,0
E1,熊仔/豹子胆,梦想成真,0
E1,橘子海,浪潮上岸,0
E1,苏紫旭,混乱之子,0
E1,脏手指,滥情三部曲,0
E1,百合花,烧金蕉,0
E1,王若琳,爱的呼唤,0
E1,郑宜农,给天王星,0
E1,邱比,至繁,0
E1,发光曲线,荒野星,0
E1,魏如萱,藏着并不等于遗忘,0
E1,伍佰&China Blue,让水倒流,0
E1,杨乃文,越美丽越看不见,5
E1,郁可唯,路过人间,0
E1,群星,过春天 电影原声碟,5
E1,懒惰致富集团,飞艇计划,0
E1,陈蕾,1029,0
E2,佛跳墙,BJ肆,0
E2,Robynn & Kendy,Curations,0
E2,吉克隽逸,Global Citizen世界公民Ⅲ,0
E2,陈珊妮,Juvenile A,3
E2,缺省,Life In A Vacuum,0
E2,小尘埃,Little By Little,0
E2,邓小巧,No Coincidence,0
E2,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E2,威神V WayV,Take Off (The 1st Mini Album),0
E2,谢安琪/麦浚龙,The Album And The Rest Of It,0
E2,粉红A,为艺术牺牲,0
E2,丢莱卡,健忘的平原,0
E2,全家福合唱团,全家福II,0
E2,养鸡,养鸡的梦境,4
E2,小老虎,北京吗,0
E2,张雄关,危险地带,0
E2,宫阁,即将上映,0
E2,傻子与白痴,夜长梦少,0
E2,Howie Lee,天地不仁,0
E2,吴青峰,太空人,0
E2,许哲佩,失物之城,0
E2,丁世光,实况电影,0
E2,周华健,少年,0
E2,莫宰羊,幻想曲,0
E2,倒车入库,庸人自扰,0
E2,Ice Paper,成语接龙,0
E2,梁静茹,我好吗? - 太阳如常升起,0
E2,家家,我想要的,0
E2,短裤里的诗歌,我还喜欢你,0
E2,许廷铿,拾,0
E2,鬼卞,无间,0
E2,刘柏辛,无限意识Meta Ego,4
E2,鲁向卉,时间/木马,0
E2,AR刘夫阳,校园寓言故事,0
E2,熊仔/豹子胆,梦想成真,0
E2,橘子海,浪潮上岸,0
E2,苏紫旭,混乱之子,0
E2,脏手指,滥情三部曲,0
E2,百合花,烧金蕉,0
E2,王若琳,爱的呼唤,0
E2,郑宜农,给天王星,0
E2,邱比,至繁,0
E2,发光曲线,荒野星,0
E2,魏如萱,藏着并不等于遗忘,3
E2,伍佰&China Blue,让水倒流,0
E2,杨乃文,越美丽越看不见,2
E2,郁可唯,路过人间,0
E2,群星,过春天 电影原声碟,0
E2,懒惰致富集团,飞艇计划,0
E2,陈蕾,1029,0
E3,佛跳墙,BJ肆,1
E3,Robynn & Kendy,Curations,0
E3,吉克隽逸,Global Citizen世界公民Ⅲ,0
E3,陈珊妮,Juvenile A,1
E3,缺省,Life In A Vacuum,0
E3,小尘埃,Little By Little,0
E3,邓小巧,No Coincidence,0
E3,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E3,威神V WayV,Take Off (The 1st Mini Album),0
E3,谢安琪/麦浚龙,The Album And The Rest Of It,0
E3,粉红A,为艺术牺牲,0
E3,丢莱卡,健忘的平原,0
E3,全家福合唱团,全家福II,3
E3,养鸡,养鸡的梦境,0
E3,小老虎,北京吗,1
E3,张雄关,危险地带,0
E3,宫阁,即将上映,0
E3,傻子与白痴,夜长梦少,0
E3,Howie Lee,天地不仁,0
E3,吴青峰,太空人,3
E3,许哲佩,失物之城,3
E3,丁世光,实况电影,3
E3,周华健,少年,1
E3,莫宰羊,幻想曲,0
E3,倒车入库,庸人自扰,0
E3,Ice Paper,成语接龙,1
E3,梁静茹,我好吗? - 太阳如常升起,0
E3,家家,我想要的,0
