judge,artist,vote
E1,AR 刘夫阳,0
E1,Daytrip Dormancy,0
E1,Dru Chen,0
E1,Dusty Bottle,0
E1,SoulFa,0
E1,SOUTH ACID MIMI,0
E1,THE BOOTLEGS 靴腿,0
E1,イルカポリス 海豚刑警,0
E1,威神V WayV,0
E1,九连真人,2
E1,余佩真,0
E1,傻子与白痴,0
E1,刘思鉴,1
E1,右侧合流,0
E1,吴林峰,0
E1,告五人,0
E1,唐猫 SUGARCAT,0
E1,太一,0
E1,张洢豪,0
E1,持修,0
E1,桃子假象,0
E1,橘子海,0
E1,焦迈奇,0
E1,百合花,0
E1,短裤里的诗歌,0
E1,莫宰羊,0
E1,钱正昊,0
E1,陈家麟Whle,0
E1,9m88,6
E2,AR 刘夫阳,0
E2,Daytrip Dormancy,0
E2,Dru Chen,0
E2,Dusty Bottle,0
E2,SoulFa,0
E2,SOUTH ACID MIMI,0
E2,THE BOOTLEGS 靴腿,0
E2,イルカポリス 海豚刑警,2
E2,威神V WayV,0
E2,九连真人,0
E2,余佩真,0
E2,傻子与白痴,0
E2,刘思鉴,0
E2,右侧合流,0
E2,吴林峰,0
E2,告五人,3
E2,唐猫 SUGARCAT,0
E2,太一,0
E2,张洢豪,0
E2,持修,0
E2,桃子假象,3
E2,橘子海,4
E2,焦迈奇,0
E2,百合花,0
E2,短裤里的诗歌,0
E2,莫宰羊,0
E2,钱正昊,0
E2,陈家麟Whle,0
E2,9m88,5
E3,AR 刘夫阳,0
E3,Daytrip Dormancy,0
E3,Dru Chen,0
E3,Dusty Bottle,0
E3,SoulFa,0
E3,SOUTH ACID MIMI,0
E3,THE BOOTLEGS 靴腿,0
E3,イルカポリス 海豚刑警,0
E3,威神V WayV,0
E3,九连真人,3
E3,余佩真,6
E3,傻子与白痴,0
E3,刘思鉴,0
E3,右侧合流,0
E3,吴林峰,0
E3,告五人,5
E3,唐猫 SUGARCAT,0
E3,太一,0
E3,张洢豪,0
E3,持修,3
E3,桃子假象,0
E3,橘子海,3
E3,焦迈奇,0
E3,百合花,0
E3,短裤里的诗歌,0
E3,莫宰羊,0
E3,钱正昊,0
E3,陈家麟Whle,0
E3,9m88,3
E4,AR 刘夫阳,0
E4,Daytrip Dormancy,1
E4,Dru Chen,5
E4,Dusty Bottle,0
E4,SoulFa,4
E4,SOUTH ACID MIMI,3
E4,THE BOOTLEGS 靴腿,0
E4,イルカポリス 海豚刑警,0
E4,威神V WayV,0
E4,九连真人,5
E4,余佩真,0
E4,傻子与白痴,2
E4,刘思鉴,0
E4,右侧合流,0
E4,吴林峰,0
E4,告五人,0
E4,唐猫 SUGARCAT,0
E4,太一,2
E4,张洢豪,0
E4,持修,0
E4,桃子假象,0
E4,橘子海,3
E4,焦迈奇,0
E4,百合花,0
E4,短裤里的诗歌,0
E4,莫宰羊,0
E4,钱正昊,0
E4,陈家麟Whle,1
E4,9m88,2
E5,AR 刘夫阳,0
E5,Daytrip Dormancy,0
E5,Dru Chen,0
E5,Dusty Bottle,0
E5,SoulFa,3
E5,SOUTH ACID MIMI,0
E5,THE BOOTLEGS 靴腿,2
E5,イルカポリス 海豚刑警,2
E5,威神V WayV,0
E5,九连真人,0
E5,余佩真,4
E5,傻子与白痴,0
E5,刘思鉴,0
E5,右侧合流,0
E5,吴林峰,0
E5,告五人,3
E5,唐猫 SUGARCAT,0
E5,太一,0
E5,张洢豪,0
E5,持修,4
E5,桃子假象,3
E5,橘子海,3
E5,焦迈奇,0
E5,百合花,3
E5,短裤里的诗歌,0
E5,莫宰羊,2
E5,钱正昊,0
E5,陈家麟Whle,0
E5,9m88,3
E6,AR 刘夫阳,0
E6,Daytrip Dormancy,0
E6,Dru Chen,0
E6,Dusty Bottle,0
E6,SoulFa,1
E6,SOUTH ACID MIMI,0
E6,THE BOOTLEGS 靴腿,4
E6,イルカポリス 海豚刑警,4
E6,威神V WayV,0
E6,九连真人,0
E6,余佩真,0
E6,傻子与白痴,2
E6,刘思鉴,0
E6,右侧合流,2
E6,吴林峰,0
E6,告五人,2
E6,唐猫 SUGARCAT,0
E6,太一,0
E6,张洢豪,0
E6,持修,0
E6,桃子假象,1
E6,橘子海,2
E6,焦迈奇,2
E6,百合花,1
E6,短裤里的诗歌,5
E6,莫宰羊,0
E6,钱正昊,0
E6,陈家麟Whle,0
E6,9m88,0
E7,AR 刘夫阳,0
E7,Daytrip Dormancy,0
E7,Dru Chen,0
E7,Dusty Bottle,0
E7,SoulFa,0
E7,SOUTH ACID MIMI,0
E7,THE BOOTLEGS 靴腿,0
E7,イルカポリス 海豚刑警,0
E7,威神V WayV,0
E7,九连真人,0
E7,余佩真,0
E7,傻子与白痴,0
E7,刘思鉴,4
E7,右侧合流,0
E7,吴林峰,0
E7,告五人,0
E7,唐猫 SUGARCAT,0
E7,太一,7
E7,张洢豪,0
E7,持修,0
E7,桃子假象,1
E7,橘子海,0
E7,焦迈奇,0
E7,百合花,0
E7,短裤里的诗歌,0
E7,莫宰羊,0
E7,钱正昊,2
E7,陈家麟Whle,3
E7,9m88,0
E8,AR 刘夫阳,0
E8,Daytrip Dormancy,0
E8,Dru Chen,0
E8,Dusty Bottle,1
E8,SoulFa,3
E8,SOUTH ACID MIMI,1
E8,THE BOOTLEGS 靴腿,2
E8,イルカポリス 海豚刑警,0
E8,威神V WayV,0
E8,九连真人,6
E8,余佩真,0
E8,傻子与白痴,3
E8,刘思鉴,0
E8,右侧合流,0
E8,吴林峰,0
E8,告五人,4
E8,唐猫 SUGARCAT,0
E8,太一,3
E8,张洢豪,0
E8,持修,0
E8,桃子假象,0
E8,橘子海,3
E8,焦迈奇,0
E8,百合花,0
E8,短裤里的诗歌,0
E8,莫宰羊,0
E8,钱正昊,1
E8,陈家麟Whle,0
E8,9m88,2
E9,AR 刘夫阳,2
E9,Daytrip Dormancy,0
E9,Dru Chen,0
E9,Dusty Bottle,0
E9,SoulFa,0
E9,SOUTH ACID MIMI,0
E9,THE BOOTLEGS 靴腿,0
E9,イルカポリス 海豚刑警,0
E9,威神V WayV,0
E9,九连真人,3
E9,余佩真,0
E9,傻子与白痴,2
E9,刘思鉴,2
E9,右侧合流,2
E9,吴林峰,0
E9,告五人,3
E9,唐猫 SUGARCAT,0
E9,太一,4
E9,张洢豪,0
E9,持修,0
E9,桃子假象,1
E9,橘子海,4
E9,焦迈奇,0
E9,百合花,2
E9,短裤里的诗歌,0
E9,莫宰羊,0
E9,钱正昊,0
E9,陈家麟Whle,0
E9,9m88,0
E10,AR 刘夫阳,0
E10,Daytrip Dormancy,0
E10,Dru Chen,0
E10,Dusty Bottle,1
E10,SoulFa,3
E10,SOUTH ACID MIMI,0
E10,THE BOOTLEGS 靴腿,0
E10,イルカポリス 海豚刑警,1
E10,威神V WayV,0
E10,九连真人,4
E10,余佩真,0
E10,傻子与白痴,3
E10,刘思鉴,1
E10,右侧合流,0
E10,吴林峰,0
E10,告五人,3
E10,唐猫 SUGARCAT,0
E10,太一,3
E10,张洢豪,2
E10,持修,0
E10,桃子假象,1
E10,橘子海,3
E10,焦迈奇,1
E10,百合花,0
E10,短裤里的诗歌,1
E10,莫宰羊,0
E10,钱正昊,1
E10,陈家麟Whle,0
E10,9m88,2
E11,AR 刘夫阳,0
E11,Daytrip Dormancy,0
E11,Dru Chen,0
E11,Dusty Bottle,0
E11,SoulFa,2
E11,SOUTH ACID MIMI,0
E11,THE BOOTLEGS 靴腿,0
E11,イルカポリス 海豚刑警,0
E11,威神V WayV,0
E11,九连真人,3
E11,余佩真,0
E11,傻子与白痴,6
E11,刘思鉴,0
E11,右侧合流,0
E11,吴林峰,0
E11,告五人,0
E11,唐猫 SUGARCAT,0
E11,太一,0
E11,张洢豪,0
E11,持修,0
E11,桃子假象,0
E11,橘子海,0
E11,焦迈奇,3
E11,百合花,0
E11,短裤里的诗歌,0
E11,莫宰羊,0
E11,钱正昊,0
E11,陈家麟Whle,0
E11,9m88,0
E12,AR 刘夫阳,0
E12,Daytrip Dormancy,0
E12,Dru Chen,0
E12,Dusty Bottle,0
E12,SoulFa,3
E12,SOUTH ACID MIMI,0
E12,THE BOOTLEGS 靴腿,0
E12,イルカポリス 海豚刑警,1
E12,威神V WayV,0
E12,九连真人,0
E12,余佩真,0
E12,傻子与白痴,3
E12,刘思鉴,0
E12,右侧合流,1
E12,吴林峰,0
E12,告五人,3
E12,唐猫 SUGARCAT,0
E12,太一,1
E12,张洢豪,1
E12,持修,1
E12,桃子假象,1
E12,橘子海,7
E12,焦迈奇,1
E12,百合花,0
E12,短裤里的诗歌,0
E12,莫宰羊,0
E12,钱正昊,1
E12,陈家麟Whle,0
E12,9m88,4
E13,AR 刘夫阳,0
E13,Daytrip Dormancy,4
E13,Dru Chen,0
E13,Dusty Bottle,0
E13,SoulFa,3
E13,SOUTH ACID MIMI,2
E13,THE BOOTLEGS 靴腿,3
E13,イルカポリス 海豚刑警,1
E13,威神V WayV,0
E13,九连真人,2
E13,余佩真,2
E13,傻子与白痴,2
E13,刘思鉴,0
E13,右侧合流,2
E13,吴林峰,2
E13,告五人,3
E13,唐猫 SUGARCAT,1
E13,太一,0
E13,张洢豪,0
E13,持修,3
E13,桃子假象,1
E13,橘子海,2
E13,焦迈奇,0
E13,百合花,2
E13,短裤里的诗歌,2
E13,莫宰羊,0
E13,钱正昊,1
E13,陈家麟Whle,2
E13,9m88,2
E14,AR 刘夫阳,0
E14,Daytrip Dormancy,0
E14,Dru Chen,1
E14,Dusty Bottle,3
E14,SoulFa,1
E14,SOUTH ACID MIMI,0
E14,THE BOOTLEGS 靴腿,0
E14,イルカポリス 海豚刑警,4
E14,威神V WayV,0
E14,九连真人,2
E14,余佩真,5
E14,傻子与白痴,2
E14,刘思鉴,0
E14,右侧合流,1
E14,吴林峰,0
E14,告五人,3
E14,唐猫 SUGARCAT,0
E14,太一,0
E14,张洢豪,0
E14,持修,1
E14,桃子假象,0
E14,橘子海,2
E14,焦迈奇,0
E14,百合花,4
E14,短裤里的诗歌,2
E14,莫宰羊,0
E14,钱正昊,0
E14,陈家麟Whle,2
E14,9m88,1
E15,AR 刘夫阳,0
E15,Daytrip Dormancy,0
E15,Dru Chen,0
E15,Dusty Bottle,0
E15,SoulFa,0
E15,SOUTH ACID MIMI,4
E15,THE BOOTLEGS 靴腿,0
E15,イルカポリス 海豚刑警,7
E15,威神V WayV,0
E15,九连真人,0
E15,余佩真,1
E15,傻子与白痴,0
E15,刘思鉴,0
E15,右侧合流,0
E15,吴林峰,0
E15,告五人,0
E15,唐猫 SUGARCAT,0
E15,太一,0
E15,张洢豪,0
E15,持修,0
E15,桃子假象,0
