judge,artist,song
A1,落日飞车,我是一只鱼
A1,魏如萱/岑宁儿,星期三或礼拜三
A1,祁紫檀,这世上美的事物总让人心碎
A2,凹与山/李漫,一切好事都会发生
A2,发光曲线,灰烬霓虹
A2,发光曲线,无限引擎
A2,丁世光/叶喜儿,低潮期
A2,刘柏辛,Manta
A2,佛跳墙,关你屁事
A2,杨乃文/许钧,不再
A2,袁娅维,我爱
A2,邱比,柔黄
A2,Ice Paper,鸦雀无声
A3,白纸扇,东莞
A3,海朋森,草莓
A3,SoulFa,R.U.M.O.R.S
A3,全家福合唱团,爱上福利社
A3,吴建京,灰沙燕
A3,粉红A,香港香港
A3,脏手指,滥情三部曲
A3,刘柏辛,Manta
A3,不优雅,停在空中
A3,曾轶可,雌雄同体
A4,右侧合流,躲猫猫
A4,Atta Girl,九月
A4,自闭电台,寻找小羊
A4,海朋森,草莓
A4,爱是唯一,Darling
A4,Nerve Passeger,中环留念
A4,Fill Lake,"Be not afeard, the isle is full of noises"
A4,イルカポリス 海豚刑警,安平之光
A4,黎忘年,宝石
A4,巧克力工厂Chocolate Factory,大肚子飞行员
A5,唐汉霄/周深,末日飞船
A5,周华健,少年
A5,鬼卞,佳人
A5,刘柏辛,Manta
A5,郁可唯,路过人间
A5,吉克隽逸,Looking for Trouble
A5,88rising/王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise
A5,陈家麟Whle,Pluto
A5,林俊杰,将故事写成我们
A6,发光曲线,荒野星
A6,傻子与白痴,夜长梦少
A6,郁可唯,路过人间
A6,路嘉欣,落落大方
A6,杨乃文/许钧,不再
A6,邓紫棋,句号
A6,告五人,爱人错过
A6,王诗安,太空农场
A6,郑宜农,千千万万
A6,per se,庆祝无意义
A7,魏如萱,彼个所在
A7,吴青峰,Outsider
A7,法兹乐队FAZI/海朋森,你把我的脸庞转向明天
A7,イルカポリス 海豚刑警,安平之光
A7,全家福合唱团,感恩节
A7,陈珊妮/吕士轩,成为一个厉害的普通人
A7,Sunshine,sunshine
A7,伍佰 & China Blue,让水倒流
A7,五条人,匈奴王
A7,蔡旻佑/艾怡良,伎俩
A8,丁世光/叶喜儿,低潮期
A8,裘德,颁奖的时候我要缺席
A8,焦迈奇,松鼠
A8,deca joins,雾
A8,好妹妹,云野
A8,还潮,舟宿渡夏目漱石
A8,杨乃文,在爱和你之间
A8,无妄合作社,在围城时与你失散
A8,魏如萱/岑宁儿,星期三或礼拜三
A8,茄子蛋,孤独的人我们一起出发
A9,张艺兴,honey
A9,白纸扇,东莞
A9,莫宰羊,健康快乐
A9,9m88,爱情雨
A9,九连真人,莫欺少年穷
A9,椅子乐团,城市潜水
A9,鹿晗,夜的尽头
A9,宫阁,夕阳·日落
A9,刘柏辛,Manta
A9,宝石Gem,野狼Disco
A10,卢凯彤,光
A10,林二汶,最后的信仰
A10,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K
A10,李靖筠,第三颗行星
A10,麦浚龙/黎明,忘记和记
A10,吴林峰,下一束光
A10,方皓玟,愿
A10,Dusty Bottle,You Don't Know Me
A10,谢安琪,773312
A10,许廷铿,十
A11,林宥嘉,别让我走远
A11,苏紫旭&The Paramecia,爱的匕首
A11,上海彩虹室内合唱团,我有一个装满星星的口袋
A11,袁娅维,来
A11,鲁向卉,嘲笑孤单
A11,林二汶,最后的信仰
A11,陈楚生,趋光号
A11,佛跳墙,关你屁事
A11,梁静茹,太阳如常升起 I
A11,丁世光,月食
A12,J.Sheon,输情歌
A12,魏如萱,彼个所在
A12,刘柏辛,Manta
A12,梁静茹,我好吗
A12,9m88/Leo王,最高品质静悄悄(Airplane Mode)
A12,佛跳墙,无名氏
A12,宋念宇,默念你
A12,家家/方大同,在家里
A12,袁娅维,我爱
A12,焦迈奇,我的名字
A13,苏紫旭&The Paramecia,混乱之子
A13,魏如萱,Ophelia
A13,苏紫旭&The Paramecia,当年星
A13,曾轶可,水的记忆
A13,尹吾,我承认
A13,吴青峰,水仙花之死
A13,法兹乐队FAZI/海朋森,你把我的脸庞转向明天
A13,安溥 anpu,ZOEA
A13,唐汉霄/周深,末日飞船
A13,王若琳,我只在乎你
A14,梁静茹,太阳如常升起 I
A14,陈珊妮/吕士轩,成为一个厉害的普通人
A14,魏如萱,Ophelia
A14,苏紫旭&The Paramecia,爱的匕首
A14,Happy Birdy,大球滚动
A14,邓小巧,精神喂饲
A14,卢凯彤,圆谎
A14,李亮辰,渡河
A14,橘子海,夏日漱石
A14,3unshine,巴拉
A15,橘子海,夏日漱石
A15,丁世光,你的家
A15,傻子与白痴,5:10a.m.
A15,落日飞车,Vanilla
A16,灭火器,双城记
A16,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K
A16,方皓玟,人话
A16,Matt Force,告别
A16,傻子与白痴,象牙舟
A16,魏如萱,Ophelia
A16,卢凯彤,光之外
A16,邱比,叶柏
A16,百合花,一枝草
A16,宝石Gem,野狼Disco
