judge,artist,song,vote
D1,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,0
D1,9m88,爱情雨,0
D1,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D1,Atta Girl,九月,0
D1,deca joins,雾,0
D1,Dusty Bottle,You Don't Know Me,0
D1,Fill Lake,"Be not afeard, the isle is full of noises",0
D1,Happy Birdy,大球滚动,0
D1,Ice Paper,鸦雀无声,0
D1,J.Sheon,输情歌,0
D1,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K,0
D1,Matt Force,告别,0
D1,Nerve Passeger,中环留念,0
D1,per se,庆祝无意义,0
D1,SoulFa,R.U.M.O.R.S,0
D1,イルカポリス 海豚刑警,安平之光,0
D1,丁世光,你的家,0
D1,丁世光,月食,0
D1,丁世光/叶喜儿,低潮期,0
D1,上海彩虹室内合唱团,我有一个装满星星的口袋,0
D1,不优雅,停在空中,0
D1,尹吾,我承认,0
D1,九连真人,莫欺少年穷,0
D1,五条人,匈奴王,0
D1,伍佰&China Blue,让水倒流,0
D1,佛跳墙,关你屁事,0
D1,佛跳墙,无名氏,0
D1,傻子与白痴,5:10a.m.,0
D1,傻子与白痴,夜长梦少,0
D1,傻子与白痴,象牙舟,0
D1,全家福合唱团,感恩节,0
D1,全家福合唱团,爱上福利社,0
D1,凹与山/李漫,一切好事都会发生,0
D1,刘柏辛,Manta,5
D1,卢凯彤,光,0
D1,卢凯彤,光之外,0
D1,卢凯彤,圆谎,0
D1,发光曲线,无限引擎,0
D1,发光曲线,灰烬霓虹,0
D1,发光曲线,荒野星,0
D1,右侧合流,躲猫猫,0
D1,吉克隽逸,Looking for Trouble,0
D1,吴建京,灰沙燕,0
D1,吴林峰,下一束光,0
D1,吴青峰,Outsider,0
D1,吴青峰,水仙花之死,0
D1,告五人,爱人错过,0
D1,周华健,少年,0
D1,唐汉霄/周深,末日飞船,0
D1,好妹妹,云野,0
D1,安溥 anpu,ZOEA,0
D1,宋念宇,默念你,0
D1,宝石Gem,野狼Disco,0
D1,宫阁,夕阳·日落,0
D1,家家/方大同,在家里,0
D1,巧克力工厂Chocolate Factory,大肚子飞行员,0
D1,张艺兴,honey,0
D1,方皓玟,人话,0
D1,方皓玟,愿,0
D1,无妄合作社,在围城时与你失散,0
D1,曾轶可,雌雄同体,2
D1,曾轶可,水的记忆,0
D1,李亮辰,渡河,0
D1,李靖筠,第三颗行星,0
D1,杨乃文,在爱和你之间,2
D1,杨乃文/许钧,不再,0
D1,林二汶,最后的信仰,0
D1,林俊杰,将故事写成我们,0
D1,林宥嘉,别让我走远,0
